id,name,email,city
1,Vaishnavi,vaishnavi@example.com,Pune
2,Rahul,rahul@example.com,Mumbai
3,Priya,priya@example.com,Nashik
4,Amit,amit@example.com,Nagpur
5,Neha,neha@example.com,Aurangabad
6,Rohan,rohan@example.com,Thane
7,Sneha,sneha@example.com,Kolhapur
8,Akash,akash@example.com,Solapur
9,Pooja,pooja@example.com,Satara
10,Karan,karan@example.com,Pune
11,Anjali,anjali@example.com,Mumbai
12,Vivek,vivek@example.com,Nashik
13,Shweta,shweta@example.com,Nagpur
14,Manish,manish@example.com,Thane
15,Riya,riya@example.com,Kolhapur
